County,Species,Virus,CollectionDate,Month,Year,CountofCounty
Suffolk,Culex pipiens/restuans complex,WNV,July 2019,July,2019,3
Suffolk,Culex pipiens/restuans complex,WNV,July 2020,July,2020,4
Suffolk,Culex pipiens/restuans complex,WNV,August 2014,August,2014,10
Suffolk,Culex pipiens/restuans complex,WNV,August 2015,August,2015,10
Suffolk,Culex pipiens/restuans complex,WNV,August 2016,August,2016,29
Suffolk,Culex pipiens/restuans complex,WNV,August 2017,August,2017,15
Suffolk,Culex pipiens/restuans complex,WNV,August 2018,August,2018,17
Suffolk,Culex pipiens/restuans complex,WNV,August 2019,August,2019,1
Suffolk,Culex pipiens/restuans complex,WNV,August 2020,August,2020,12
Suffolk,Culex pipiens/restuans complex,WNV,September 2014,September,2014,5
Suffolk,Culex pipiens/restuans complex,WNV,September 2015,September,2015,4
Suffolk,Culex pipiens/restuans complex,WNV,September 2016,September,2016,3
Suffolk,Culex pipiens/restuans complex,WNV,September 2017,September,2017,6
Suffolk,Culex pipiens/restuans complex,WNV,September 2018,September,2018,3
Suffolk,Culex pipiens/restuans complex,WNV,September 2019,September,2019,6
Suffolk,Culex pipiens/restuans complex,WNV,September 2020,September,2020,10
Suffolk,Culex pipiens/restuans complex,WNV,October 2015,October,2015,2
Suffolk,Culex salinarius,WNV,August 2015,August,2015,2
Suffolk,Culex salinarius,WNV,August 2016,August,2016,1
Suffolk,Culex salinarius,WNV,September 2019,September,2019,1
Suffolk,Culex species,WNV,July 2014,July,2014,1
Suffolk,Ochlerotatus japonicus,WNV,August 2018,August,2018,2
Worcester,Aedes vexans,EEE,August 2019,August,2019,2
Worcester,Coquillettidia perturbans,EEE,July 2019,July,2019,2
Worcester,Coquillettidia perturbans,EEE,August 2019,August,2019,21
Worcester,Coquillettidia perturbans,EEE,August 2020,August,2020,1
Worcester,Coquillettidia perturbans,EEE,September 2019,September,2019,3
Worcester,Coquillettidia perturbans,WNV,August 2015,August,2015,1
Worcester,Coquillettidia perturbans,WNV,August 2016,August,2016,1
Worcester,Coquillettidia perturbans,WNV,August 2018,August,2018,1
Worcester,Culex pipiens/restuans complex,EEE,August 2019,August,2019,1
Worcester,Culex pipiens/restuans complex,EEE,September 2015,September,2015,1
Worcester,Culex pipiens/restuans complex,WNV,July 2015,July,2015,4
Worcester,Culex pipiens/restuans complex,WNV,July 2016,July,2016,6
Worcester,Culex pipiens/restuans complex,WNV,July 2017,July,2017,3
Worcester,Culex pipiens/restuans complex,WNV,July 2018,July,2018,1
Worcester,Culex pipiens/restuans complex,WNV,August 2015,August,2015,3
Worcester,Culex pipiens/restuans complex,WNV,August 2016,August,2016,2
Worcester,Culex pipiens/restuans complex,WNV,August 2017,August,2017,16
Worcester,Culex pipiens/restuans complex,WNV,August 2018,August,2018,4
Worcester,Culex pipiens/restuans complex,WNV,September 2014,September,2014,1
Worcester,Culex pipiens/restuans complex,WNV,September 2015,September,2015,7
Worcester,Culex salinarius,EEE,August 2019,August,2019,2
Worcester,Culex salinarius,WNV,September 2019,September,2019,1
Worcester,Culex species,EEE,August 2019,August,2019,1
Worcester,Culex species,WNV,June 2018,June,2018,3
Worcester,Culex species,WNV,July 2014,July,2014,1
Worcester,Culex species,WNV,July 2017,July,2017,1
Worcester,Culex species,WNV,July 2018,July,2018,25
Worcester,Culex species,WNV,July 2019,July,2019,1
Worcester,Culex species,WNV,August 2016,August,2016,6
Worcester,Culex species,WNV,August 2017,August,2017,7
Worcester,Culex species,WNV,August 2018,August,2018,71
Worcester,Culex species,WNV,August 2019,August,2019,5
Worcester,Culex species,WNV,September 2016,September,2016,6
Worcester,Culex species,WNV,September 2017,September,2017,1
Worcester,Culex species,WNV,September 2018,September,2018,10
Worcester,Culiseta melanura,EEE,August 2019,August,2019,7
Worcester,Culiseta melanura,EEE,September 2018,September,2018,1
Worcester,Culiseta melanura,EEE,September 2019,September,2019,5
Worcester,Culiseta melanura,WNV,September 2015,September,2015,1
Worcester,Culiseta melanura,WNV,September 2019,September,2019,3
Worcester,Ochlerotatus canadensis,EEE,August 2019,August,2019,1
Worcester,Ochlerotatus canadensis,WNV,September 2019,September,2019,1
